Name,uesp_url,occupation,morality,description,n_lines,canonical_lines,kb_found
Drahff,https://en.uesp.net/wiki/Skyrim:Drahff,Bandit Archer,No Crime,Drahff is a Nord bandit archer who can be found scheming alongside Hewnon Black-Skeever in the entrance to the Ratway. Both men will attack you on sight.,6,"I dunno, Drahff. They'd skin us alive if they knew we were doin' this. | Why are you always acting like such a big baby? I've gotten us this far. | You worry about bashing people's heads in, I'll worry about the Guild. Okay? | I'm going to check the entrance to the Ratway. Be right back. | No need to get hasty. I... I was just testing you. You can go on ahead. Let 'em go, Hewnon. All clear. | I doubt that very much.",TRUE
Esbern,https://en.uesp.net/wiki/Skyrim:Esbern,Conjurer,No Crime,"Esbern, an elderly Nord conjurer, is a chronicler and agent of the Blades who has survived the investigations of the Thalmor by hiding in Riften's Ratway. Long obsessed with the foretold return of the dragon Alduin, the World-Eater, Esbern serves as your mentor, guide, and advisor.",6,"Oh, how reassuring! Most likely you're with the Thalmor and this is just a trick to get me to open the door! | One moment, I know time is of the essence, but mustn't leave secrets for the Thalmor... there's one more thing I must bring... | Hasn't she told you? We were both Blades, back when that still meant something. Now we're just fugitives from the Thalmor. I didn't know she was alive, but I'm not surprised. She was a survivor. | Very true! Hmm. I wonder... do you know the Jarl's palace in Whiterun? | What?! No, that's not me. I'm not Esbern. I don't know what you're talking about. | Delphine? How do you... so you've finally found her, and she led you to me. And here I am, caught like a rat in a trap.",TRUE
Gian the Fist,https://en.uesp.net/wiki/Skyrim:Gian_the_Fist,Thief,No Crime,"Gian the Fist is an Imperial thief located in the Ratway beneath the city of Riften. As his name suggests, he uses unarmed attacks that do significant damage.",0,,TRUE
Hefid the Deaf,https://en.uesp.net/wiki/Skyrim:Hefid_the_Deaf,Beggar,Any Crime,"Hefid the Deaf, a Nord beggar, is part of the insane community found in the Ratway Warrens underneath Riften.",5,"Ha ha ha ha! No! Never find me! | Inkpot. Stone. Bucket. Book. Knife. | Bucket. Knife. Book. Inkpot. Stone. No, no, no. | Knife. Yes. Book. Yes. Bucket. Yes. Inkpot? No. | Go away. Go away. Go away!",TRUE
Hewnon Black-Skeever,https://en.uesp.net/wiki/Skyrim:Hewnon_Black-Skeever,Warrior,No Crime,Hewnon Black-Skeever is a Nord warrior who can be found scheming alongside Drahff in the entrance to the Ratway. Both men will attack you on sight.,6,"I dunno, Drahff. They'd skin us alive if they knew we were doin' this. | Why are you always acting like such a big baby? I've gotten us this far. | You worry about bashing people's heads in, I'll worry about the Guild. Okay? | I'm going to check the entrance to the Ratway. Be right back. | This far? We're livin' in a sewer. You said we'd have a house as big as the Black-Briars' by now. | What are you lookin' at?",TRUE
Knjakr,https://en.uesp.net/wiki/Skyrim:Knjakr,Barbarian,Any Crime,"Knjakr is an elderly cook living in The Ratway Warrens of Riften. He is implied to be a cannibal, and when approached will try to entice you into his cell.",6,"Yes, yes. Closer. I won't bite. Promise. | I have a present for you. A nice, shiny present. | I'm going to eat well tonight, my darling! | Give me just one... little... bite! | I've been waiting for you, my sweet one. | No, no, no. I've got more blood than you know!",TRUE
Salvianus,https://en.uesp.net/wiki/Skyrim:Salvianus,Barbarian,Violence Against Enemies,Salvianus is a retired soldier who fought in the Great War between the Thalmor and the Empire. He subsequently went mad and moved into The Ratway Warrens (below Riften).,6,"They were golden, even when they were dead. But their blood was red. I knew it would be. | I had a medal. It had someone's face on it. I threw it away, after. It didn't help. | It's hopeless. He told me. He's right, you know. | He explained it all to me. Before, when I still understood. I don't remember, but I still know. | You don't think there's any hope, do you? I don't. He's right. | I finally understand what it all means. What its all for. The killing. And the dying.",TRUE
Snippy,https://en.uesp.net/wiki/Skyrim:Snippy,Indeterminate,Indeterminate,Snippy is a unique mudcrab being raised by Viriya in her attempts to farm mudcrabs. It grows from the juvenile mudcrab you bring her during the quest In A Pinch and will be found following her around Riften docks the next time you visit her.,0,,TRUE
Swims-In-Deep-Water,https://en.uesp.net/wiki/Skyrim:Swims-In-Deep-Water,Citizen,Indeterminate,"Swims-In-Deep-Water is the master angler of the Riften Fishery, and he takes you under his tutelage so that you can master the craft, as well as to keep him from financial ruin. He is the main person you interact with in the Fishing creation along with Viriya.",6,You expect me to believe that? | You are like my brood to me. Here. A token. | Maybe you can help me. | You've already learned all I can teach you. | That doesn't change anything. | It speaks the truth.,TRUE
Viriya,https://en.uesp.net/wiki/Skyrim:Viriya,Citizen,Indeterminate,"Viriya is a retired Redguard adventuress who works at the Riften Fishery, where she handles special fishing requests and attempts to breed mudcrabs in the hope of selling their meat on the town's market. She is the main person you interact with in the Fishing creation along with Swims-In-Deep-Water.",6,"Maybe you can help me. You're headed to Dawnstar. It's all in this note. This won't be easy, but that's why I'm sending you. Think you can handle it? | I understand. I've come to rely on you. There's something I want you to have. It was my father's. It would be my honor if you carried it. May the gods keep you. | By the Gods. I don't even know what to say. | It would seem so. I wanted to give you this, a token of my appreciation. Thanks, good luck out there. | We sure show them, eh? Thanks for your part in all that. | Stay sharp out there.",TRUE
Molgrom Twice-Killed,https://en.uesp.net/wiki/Skyrim:Molgrom_Twice-Killed,Thief,No Crime,Molgrom Twice-Killed is a Nord thief and a former member of the Thieves Guild. He is currently doing time in the Riften Jail as a punishment from Brynjolf who disapproved of his methods.,6,"Get away from me. | Piss off. I'm busy. | Waste of talent throwing me in here, right? | Yeah, I was lucky though. After Vex tore the guy to pieces, she gave me a potion. If she hadn't been there... Anyway, after I got back to the Guild, I decided to start calling myself Twice-Killed. | Give Vex a kiss for me. | What? What are you looking at?",TRUE
Sibbi Black-Briar,https://en.uesp.net/wiki/Skyrim:Sibbi_Black-Briar,Thief,No Crime,"Sibbi Black-Briar is a Nord thief and a member of the Black-Briar family; his brother is Hemming Black-Briar, and his sister is Ingun. Maven Black-Briar is his mother.",6,"Have you come to gawk at me or is this a social call? | Well, well. Aren't you a sight for sore eyes. I've always got time for lovely ladies. | Visit me anytime. I'm not going anywhere soon. | When I find that bitch, I'm going to wring her little neck. | That's the spirit. Find her and I promise you'll be well compensated. | Well, if it isn't my little problem-solver.",TRUE
Threki the Innocent,https://en.uesp.net/wiki/Skyrim:Threki_the_Innocent,Thief,No Crime,Threki the Innocent is a Nord thief imprisoned in Riften Jail. She wears only a roughspun tunic and a pair of footwraps.,6,"They threw me in here because I called Ulfric a liar; a deceiver. | Let me out of here, damn it! I'm not a criminal! | Ulfric doesn't care about Talos. He yearns for the throne of Skyrim and he'll say anything to rally people to his side. | But now, because of Ulfric's greed, countless lives have been lost. | On second thought, maybe I'm better off in here. At least I'll die with a clear conscience. | This is what happens to you when you speak your mind in this city.",TRUE
Hofgrir Horse-Crusher,https://en.uesp.net/wiki/Skyrim:Hofgrir_Horse-Crusher,Warrior,No Crime,"Hofgrir Horse-Crusher is a Nord warrior and the owner of Riften Stables, which he runs with his assistant Shadr. He gained his name following an incident in his youth, during which he got drunk and managed to break a young horse's back after trying to mount it.",6,"Bah, I'm not afraid of anything out here. Walls are just a weakling's hiding spot. Now me, I'm no weakling. In fact, I bet I've got the strongest arms in all of Skyrim. | Well come back when you earn some more so I can take it from you! | I don't blame you. If I were in your shoes, I'd chicken out too. Well, offer still stands if you ever want to have a go. | I don't believe it. I guess you were right! | Not at all. It's good to be put in your place once in a while. I guess I shouldn't boast so much... it gets expensive! | Suit yourself. I'm always here.",TRUE
Shadr,https://en.uesp.net/wiki/Skyrim:Shadr,Farmer,No Crime,Shadr is a Redguard farmer living in Riften. He works as Hofgrir Horse-Crusher's assistant in the stables.,6,"Yes, I heard. I think all of Skyrim knows by know. | Hofgrir is a great teacher. I've learned so much about horses from him. | Horses are all I know. I've been riding since I could walk. | If the forest wasn't so dangerous, I'd spend every spare moment riding. | If it's horses you want, you'll want to speak to Hofgrir. I'm afraid I'm in too much trouble to help you. | If it's horses you want, I'm not sure I can help you. I have too much on my mind as it is.",TRUE
Sigaar,https://en.uesp.net/wiki/Skyrim:Sigaar,Warrior,No Crime,"Sigaar is a Nord warrior, and the carriage driver in Riften. For a fee, he can transport you to any of the other major cities in Skyrim.",0,,TRUE
Orini Dral,https://en.uesp.net/wiki/Skyrim:Orini_Dral,Bandit,Any Crime,"Orini Dral is a Dark Elf bandit and bodyguard to Sarthis Idren. He protects Sarthis by patrolling inside the entrance to Riften Warehouse, and watching for intruders.",0,,TRUE
Sarthis Idren,https://en.uesp.net/wiki/Skyrim:Sarthis_Idren,Bandit,No Crime,"Sarthis Idren is a Dark Elf bandit and skooma dealer based at the Riften Warehouse. He is a source of displeasure for the jarls of Riften, who have tried to get rid of him.",0,,TRUE
Romlyn Dreth,https://en.uesp.net/wiki/Skyrim:Romlyn_Dreth,Thief,No Crime,"Romlyn Dreth is a Dark Elf thief working for the Black-Briar Meadery. He is secretly stealing Black-Briar mead from the meadery, and sells bottles of it for 10 gold each.",6,"I'm selling the best mead in town for cheap. Interested? | Here you go. Oh, and keep it quiet. This stuff isn't exactly easy to get a hold of at these prices, if you catch my drift. | Suit yourself. If you change your mind, I'll be around. | I believe you have a delivery to make. | A Dreth never forgets a traitor. You'll pay for this! | Do you know what Indaryn told me? He said if I'm late one more time he'll kick me right out the door!",TRUE
Asbjorn Fire-Tamer,https://en.uesp.net/wiki/Skyrim:Asbjorn_Fire-Tamer,Blacksmith,Any Crime,"Asbjorn Fire-Tamer is a Nord blacksmith working for Balimund, the owner of the Scorched Hammer in Riften. In the event of Balimund's demise, Asbjorn will assume the role of blacksmith at the Scorched Hammer.",6,"Oh, well thank you. I'll try and read this if I can. | Have you met Balimund? I'm his apprentice. He's teaching me all about being a blacksmith. | I used to live at the orphanage here in Riften. Grelod said my ma and da left me there when I was a baby... that they didn't want me. | Balimund took me in and has been so kind to me. I don't know why, but he thinks I can be a great blacksmith like him. | At first I don't know why he picked me. I never even held a hammer in my life! But the first time I picked it up, it just felt right! | Folks in town say that Balimund is the greatest blacksmith in all of Tamriel. I hope I can live up to that some day and make him proud of me.",TRUE
Balimund,https://en.uesp.net/wiki/Skyrim:Balimund,Blacksmith,No Crime,Balimund is a Nord and the local blacksmith of Riften as well as an expert-level trainer in Smithing. He wears a blacksmith's apron and a pair of shoes.,6,"Shutting this place down would dishonor my family's heritage, but what other choice will I have? | Lazy good-for-nothing, isn't he? Sent you down here when I'm a stone's throw from the keep? Here's the sword. Tell Harrald to stop slaying walls and perhaps his blade will stay in better condition! | Thank you for the blessing, I'll put this to good use. | You wish to do what I do? Very well. | If you need any more smithing work, come see me again. | Well, it was. Sadly, this forge is dying and I've used the last of my fire salts. If I can't feed it soon, it may grow cold.",TRUE
Addvild,https://en.uesp.net/wiki/Skyrim:Addvild,Farmer,Any Crime,"Addvild is a Nord farmer who works for Vulwulf Snow-Shod at Snow-Shod Farm with his recently married wife, Leonara Arius. He appreciates honest work and will pay a septim each for leeks and potatoes and five septims each for wheat.",6,"My darling, you've made me the happiest woman in all Skyrim. | Vulwulf has been quite generous to let me take care of their farm considering I am not part of their family. | The are very trusting to let me run this place without their supervision. | I'm glad there are guards outside the farm. I don't think I could defend the place alone. | Pretty quiet out here on the farm. My wife and I kind of like the solitude. | Did you see the fires from Goldenglow Estate? I was afraid the whole place was going to burn to the ground!",TRUE
Leonara Arius,https://en.uesp.net/wiki/Skyrim:Leonara_Arius,Farmer,Any Crime,Leonara Arius is an Imperial farmer who works with her recently married husband Addvild at Snow-Shod Farm.,6,"This was the first door in Skyrim I knocked upon, and little did I know my future husband would be answering the door. | My darling, you've made me the happiest woman in all Skyrim. | Addvild's made me a happy woman. I wouldn't want to be with anyone else in the world. | My husband and I were just recently married. | I like the farm life. It's a huge change from living in a city. | I'm originally from Cyrodiil, but I left there after I had a falling out with my family.",TRUE
Asgeir Snow-Shod,https://en.uesp.net/wiki/Skyrim:Asgeir_Snow-Shod,Warrior,Any Crime,Asgeir Snow-Shod is a Nord warrior living in Riften. He works at the Black-Briar Meadery as Maven Black-Briar's investor and partner.,6,"The best. Vittoria's a good woman. Any man should be so lucky. I know my father's not happy about me marrying an Imperial, but that's his problem. | I'll rest easy when we've driven every last Imperial pig back across the Jerall Mountains! Now, do me the honor I deserve as your father and drink up! | Now now, fella. Let's not get too close to my new bride, eh? | Well aren't you a pretty thing? Should my new bride worried? He he he he. | Not really my usual read, but I'll give it a try. | Sorry, I'm afraid I can't help you much right now... I'm currently in mourning.",TRUE
Nura Snow-Shod,https://en.uesp.net/wiki/Skyrim:Nura_Snow-Shod,Priest,Any Crime,"Nura Snow-Shod is a Nord priestess of Talos, and wife to Vulwulf Snow-Shod. She has two sons, Asgeir and Unmid Snow-Shod.",6,"Talos bless you, my child. | Ugh. Get this awful paper away from me, by Talos! | To think, my little boy is married. And to an Imperial. Oh, they grow up so fast. | Oh. Why... why certainly. I keep telling myself I'm not losing a son, I'm gaining an Imperial. Daughter. An Imperial daughter... | Then by Talos, you do what you feel you're meant to do. I'll take care of your father for you. | How can a humble servant of Talos help you today?",TRUE
Vulwulf Snow-Shod,https://en.uesp.net/wiki/Skyrim:Vulwulf_Snow-Shod,Warrior,Any Crime,"Vulwulf Snow-Shod, a Nord warrior, is a staunch supporter of the Stormcloaks, and the patriarch of Clan Snow-Shod. He is husband to Nura Snow-Shod, a Talos priest, and their sons are Asgeir and Unmid.",6,"Be brief Imperial, there's only so long I can stand being downwind of your stench. | Ah! A fellow Nord! I trust you're bringing the fight to the Empire. | Oh, I know enough. I know those trouble-making Stormcloaks refuse to submit to Imperial authority. Such seditious behavior. Why it's treason! | I still think my boy should have had a traditional Nord wedding. Outside, in the cool mountain air. | No, I'm not having a good time. My boy just married a gods-forsaken Imperial. Skyrim is full of eager Nord women, and he beds down with the enemy. | It was the Empire killed her! I know it! They killed her so they can blame it on the Stormcloaks!",TRUE
Briehl,https://en.uesp.net/wiki/Skyrim:Briehl,Warrior,No Crime,"Briehl, a Nord warrior, is an acolyte at the Temple of Mara in Riften, where he works under Dinya Balu and Maramal.",1,They should be back shortly. You're welcome to wait here if you like.,TRUE
Dinya Balu,https://en.uesp.net/wiki/Skyrim:Dinya_Balu,Priest,Any Crime,"Dinya Balu is a Dark Elf priestess of the Temple of Mara in Riften, and the wife of Maramal. She will request that you help some people with their love, and hand out religious missives to the citizens of Riften.",6,"Lady Mara's messenger returns. What can I help you with, my child? | Oh my, how wonderful! Lady Mara will be so pleased! Here you are. Now make sure you give out every single one, we can't afford to let even one lost soul stray from Her warmth. | Oh, splendid! Just splendid! Mara smiles upon us this day. Allow me to give you her gift... a true blessing to aid you in times of need. Despair not, her warmth will protect you always! | to meet you, I'm a priestess at the Temple of Mara. | What is it you seek, my child? | Good journey, my child!",TRUE
Maramal,https://en.uesp.net/wiki/Skyrim:Maramal,Priest,Any Crime,"Maramal is a Redguard priest of the Temple of Mara, located in Riften, and the husband of Dinya Balu. Maramal is usually found either in the Temple or walking around the city, but is located initially at the Bee and Barb inn.",6,"How may I help you, my son/daughter? | Yes. If you were ready, of course. Are you familiar with how marriage works in Skyrim? | Here you are. Now remember, people in Skyrim respond to deeds. You will find more people interested in your love if you help them. Good luck. Mara bless you. | Thank you! I can promise you that this will be put to good use. | Lost the last one I gave you? Very well, here you are. Mara keep you. | I do. Now and forever.",TRUE
Arnskar Ember-Master,https://en.uesp.net/wiki/Skyrim:Arnskar_Ember-Master,Blacksmith,No Crime,Arnskar Ember-Master is a Nord blacksmith in the Ragged Flagon in Riften. He moves into the area after you complete three special high-profile jobs for Delvin Mallory.,4,They don't call me the Ember-Master for nothing. What do you need? | Need your weapon repaired? Or could I interest you in a new one? | Looking for the best smith in Skyrim? You found . | You're in it deep... better start shoveling your way out.,TRUE
Cynric Endell,https://en.uesp.net/wiki/Skyrim:Cynric_Endell,Thief,No Crime,"Cynric Endell is a Breton thief and a member of the Thieves Guild in Riften. Before joining the Guild, he worked as a jailbreaker but quit after a botched job landed him in a High Rock prison for three long years.",6,"So it's true. You've turned traitor. I can't believe it. | I never saw this coming, I thought we were just having a run of bad luck. | I think you're all right. In fact, I'm kind of impressed how well you're doing around here. Just keep it between us, okay? | I've seen a lot of thieves come and go, but I've never seen anyone as good as me. | I could crack the lock on any house blindfolded before you even got your picks out of your pocket. | I don't care if Vex was chosen as a Guild Third over me, she deserved it.",TRUE
Etienne Rarnis,https://en.uesp.net/wiki/Skyrim:Etienne_Rarnis,Rogue,Any Crime,"Etienne Rarnis, a Breton rogue, is found in the dungeon of the Thalmor Embassy during the quest Diplomatic Immunity, where you are required to infiltrate the embassy to discover what knowledge the Thalmor have regarding the return of the dragons. He is being interrogated when you arrive.",6,"Ah! You made it! Good to see you, my friend. I'll never forget how you saved my life from those Thalmor maniacs. | Stop. Please. I don't know anything else. Don't you think I'd have told you already? | No... for pity's sake... I've already told you everything... | Start at the beginning, as usual. If you persist in this stubbornness I'll have... | I don't know his name. Like I've already told you a hundred- Ahhh! | Like I said, I don't know! I've seen him down in the Ratway. Maybe he lives down there, but I don't know for sure.",TRUE
Garthar,https://en.uesp.net/wiki/Skyrim:Garthar,Thief,No Crime,Garthar is a cocky Nord thief who joins the Thieves Guild after at least three special reputation quests have been completed. He was picked up by Vex after a roadside encounter with some wolves and it appears he has feelings for her.,6,"If I find Mercer first, I'm going to crush his skull with my bare hands! | Brynjolf tells me you'll make an excellent Guild Master. Oh, he's looking for you, by the way. | Name's Garthar. Remember it, because you're going to hear a lot about me. | Still learning the ropes, but I'll get the hang of it. | Off for some wine, eh? Drink one for me. | It's kind of an amusing tale. I was making my way down the road from Ivarstead towards Riften, and I saw Vex fighting off a couple of wolves.",TRUE
Herluin Lothaire,https://en.uesp.net/wiki/Skyrim:Herluin_Lothaire,Apothecary,No Crime,Herluin Lothaire is a Breton apothecary who operates a shop at the Ragged Flagon. He will move in after you have completed two Thieves Guild special reputation jobs for Delvin Mallory.,4,"So, name your poison! Ha ha ha. Oh, I never get tired of that one! | Need some sort of toxin for a special occasion? That's where I come in. | You want my advice? Pay your debt to Vex quickly and she'll forget the whole thing. | I sell all sorts of poisons for almost every occasion.",TRUE
Mercer Frey,https://en.uesp.net/wiki/Skyrim:Mercer_Frey,Rogue,No Crime,"Mercer Frey is a Breton rogue, and the initial guildmaster of the Thieves Guild. He can typically be found behind his desk in the Ragged Flagon Cistern.",6,"Mercer? This is the one I was talking about... our new recruit. | Yes, I understand. | Good. Then I think it's time we put your expertise to the test. | I'm not sure. | If you're not sure maybe you don't belong here. I'll ask again, are we clear on all of this? | I'll let that comment go because you're new here. Ask things out of turn again, and we have a problem. Now, are we clear on all of this?",TRUE
Niruin,https://en.uesp.net/wiki/Skyrim:Niruin,Thief,No Crime,"Niruin, a Wood Elf thief, is a member of the Thieves Guild and the master trainer for Archery. Before joining the guild, he was a rich wine merchant in Valenwood, but found his previous occupation too boring.",6,"The honey they collect on that hunk of rock goes into making Black-Briar Mead; just about the best tasting mead in all of Skyrim. | Ugh. The wine in Skyrim tastes like urine compared to the fine vintages we had in Valenwood. | I don't miss home one bit. I'm glad to leave that life behind me. | I don't bother with silly pickpocketing jobs when I can make far more at the gambling table. | Come find me if you need more marksman training. | If you ever need more practice with the bow, just grab me.",TRUE
Ravyn Imyan,https://en.uesp.net/wiki/Skyrim:Ravyn_Imyan,Thief,No Crime,"Ravyn Imyan is a Dark Elf thief who used to be a Morag Tong assassin, and will join the Thieves Guild once you have completed at least three of the special reputation quests.",6,"We were an assassins guild that was sanctioned by the Empire to provide public as well as private executions. We did this in the name of Mephala, whom I used to quite fervently worship. | Vex is ready to tear you apart. I hope you have a good excuse for bringing Karliah here. | I don't know, you don't look so impressive to me. I mean, you're no Gray Fox, but you must be doing something right. | I'm busy, is this important? | Are you bothering me for a reason? | Finally. Now I can get back to work.",TRUE
Rune,https://en.uesp.net/wiki/Skyrim:Rune,Thief,No Crime,"Rune, an Imperial thief, is a member of the Thieves Guild in Riften. As a child, he was found abandoned on a shipwreck on the north coast by a fisherman and has been trying to find out about his past through a runed stone that was found on him.",6,"Have no idea what my birth name really is, and I frankly don't care. | Being brought up by a poor family, I had to learn how to steal if I wanted to make ends meet. | Brynjolf actually caught me trying to pick his pocket in the market. If he was anyone else I would have gotten away with it. | I've never seen anyone with skills like yours. I just wanted to let you know that if you need anything, you can talk to me. | Perhaps. They could be nonsense... inane scribbles done by someone in idle boredom. But if not... if they actually mean something, they might tell me where I'm from... what ship was I on. Everything. | Actually, the fisherman who found me, the man I call my father gave it to me. Thought it was fitting I suppose. I never changed it, because it never felt right to do so.",TRUE
Syndus,https://en.uesp.net/wiki/Skyrim:Syndus,Fletcher,No Crime,"Syndus is a Wood Elf fletcher who operates a shop at The Ragged Flagon. He will move into The Ratway after you complete one of the Thieves Guild's ""special"" jobs for Delvin Mallory.",4,"I'm surprised you're even showing your face around here after what you did. | I've got all sorts of weapons for the discerning marksman. What can I get you? | Skilled, lethal and good-looking. Yep, it's a curse. | If you're in the market for the finest bows money can buy, you're talking to the right person.",TRUE
Thrynn,https://en.uesp.net/wiki/Skyrim:Thrynn,Thief,Any Crime,"Thrynn is a Nord thief and a member of the Thieves Guild in Riften. Before joining the Guild he was part of a bandit clan, but left after a violent and fatal disagreement with the chief over killing women and children.",6,"I'm the heavy hitter around here. When someone needs pushing around, I'm the one they send in. | Brynjolf pulled me in a few years ago. Said the Guild was lacking some muscle, so I joined up. | I've busted heads for Maven Black-Briar when she wants to keep her name out of it. Pays good, so why not? | I leave all that sneaking around nonsense to everyone else; believe me, when I'm coming for you... you'll know it. | Used to run with a bandit clan in The Pale. Turns out I didn't like them and they didn't like me, so we parted ways. | I joined up with them maybe ten years ago. Small clan... maybe twenty men. We'd raid villages, rob caravans... but it was always about the killing for them.",TRUE
Vanryth Gatharian,https://en.uesp.net/wiki/Skyrim:Vanryth_Gatharian,Blacksmith,No Crime,Vanryth Gatharian is a Dark Elf blacksmith who establishes a weapon store in front of the Ragged Flagon in Riften's Ratway once you have improved the Thieves Guild. He sells enchanted weapons as well as armor and the materials to make them.,4,Can I interest you in anything? Some fine armor perhaps? | Looking to fix your armor? | Be glad to repair any damage to your Guild armor. | Come back when you're in the Guild's good graces.,TRUE
Vipir the Fleet,https://en.uesp.net/wiki/Skyrim:Vipir_the_Fleet,Thief,No Crime,"Vipir The Fleet, a Nord thief, is a member of the Thieves Guild and the master trainer for Pickpocket. Apparently, he earned his nickname for running all the way from Windhelm to Riften instead of mounting his horse after a botched job.",6,"I wouldn't bother smacking at those hives with a weapon. Set 'em on fire and they'll go up like kindling. | I can't believe he emptied the vault. Right from under our noses. | I heard Brynjolf wants to see you about being Guild Master. I suppose my turn will come one day, but for now you'll do nicely. | Don't talk to me, you're supposed to be at the ceremony! | You're making waves around here. I like that. If you ever want to talk about anything, you let me know. | If you need pickpocket training, just let me know.",TRUE
Valindor,https://en.uesp.net/wiki/Skyrim:Valindor,Warrior,Any Crime,Valindor is a Wood Elf warrior who was born in Valenwood. He spent most of his childhood playing in the towering trees that grow there with his brethren.,6,"Well met. I don't think they're hiring anyone at the moment, so if you're looking for work, you're out of luck. | The trees... they're beautiful here. Reminds me of autumn at home. | The fall forest makes me miss my childhood; playing among the towering trees in Valenwood and living with my brethren. | Seeing the sorry state of this city almost makes me regret my decision to leave my home when my apprenticeship completed. | I was fortunate enough to be guided by one of Silvenar's master armorers until he passed. | On his deathbed, my master urged me to take over his business but I decided against it. I chose to wander Tamriel instead.",TRUE
Addvar,https://en.uesp.net/wiki/Skyrim:Addvar,Food Vendor,No Crime,Addvar is a Nord fishmonger selling his wares from the market in Solitude. He is the husband of Greta and father of Svari.,6,"I don't think he would have wanted your absolution, Rorlund. He worshiped Talos. I appreciate the thought though. | You shouldn't leave Solitude without trying our fish. Best in Skyrim. | Down at the docks. There are a few good spots, if you can avoid the East Empire Company workers and those Red Wave thugs. | You should tell her that her uncle is scum that betrayed his High King. Best she know now, Addvar. | Just a little one! I was hungry! | I'll talk with Jala, dear. I'm sure she'll accept a potato as repayment.",TRUE
Greta,https://en.uesp.net/wiki/Skyrim:Greta,Citizen,No Crime,"Greta is a Nord citizen of Solitude. She is the sister of the recently executed Roggvir, as well as the wife of Addvar, and mother of Svari.",6,"Then like Roggvir, you're a Nord at heart. It's hard for many of the people here to understand. I think Aldis understands. I don't think I could have stayed here if anyone else had... | That's my brother up there. | I'm not looking for conversation. | If you want to talk about my brother, I'm not interested. | I'm in mourning. Can't you see that? | Are you here to talk about my brother? Do you think his execution was justified?",TRUE
Svari,https://en.uesp.net/wiki/Skyrim:Svari,Child,No Crime,"Svari is a Nord child living in Solitude, and the daughter of Greta and Addvar. She is upset by the death of her uncle Roggvir, but upon further conversation she also explains she is worried about her mother, who has stopped going to the Temple of the Divines.",6,"I... I don't want to talk. | I don't have anything to say. | Mother says I shouldn't talk to people... | I shouldn't be. Mama says if I do, people are going to ask about uncle Roggvir. | I shouldn't be. Everyone wants to ask me about mama and uncle Roggvir. | Maybe if I don't talk, they won't either.",TRUE
Angeline Morrard,https://en.uesp.net/wiki/Skyrim:Angeline_Morrard,Apothecary,No Crime,"Angeline Morrard, a Breton apothecary, is the proprietor of Angeline's Aromatics in Solitude. Her niece, Vivienne Onis assists her in the store, and takes over ownership of the store if her aunt dies.",6,"Wonderful. I hadn't really hoped to run in to someone who had been there. | Ah, well I guess it was unlikely. I'm sorry to waste your time. | You got Aldis to tell you something? I knew you would. What did he say? | Ah, welcome to Aromatics. Can I help with some herbal needs? | No, no. Mostly, I'm just a simple herbalist. Lami over in Morthal should be able to help you. | No, no. I'm just a simple herbalist. You'll want to see Arcadia, over in Whiterun.",TRUE
Vivienne Onis,https://en.uesp.net/wiki/Skyrim:Vivienne_Onis,Apothecary,No Crime,"Vivienne Onis is a Breton apothecary who works at Angeline's Aromatics in Solitude with her aunt, Angeline Morrard. She becomes the owner of the store if anything happens to Angeline.",6,"It's too bad the Burning of King Olaf was called off this year. I think some of the younger bards would really have gotten a kick out of it. | I think our flutist here has gotten better since the Burning of King Olaf. | I'm so glad we got to have it. I thought for sure Elisif would never consent. | I love weddings, don't you? | I just can't wait to be a bride someday. Someday... | Oh my, yes. I absolutely love weddings. I haven't found my special someone yet, but there's still hope. Vittoria is, well, getting up in years...",TRUE
Aia Arria,https://en.uesp.net/wiki/Skyrim:Aia_Arria,Bard,No Crime,"Aia Arria is an Imperial bard at the Bards College in Solitude. According to her teacher, Pantea Ateia, Aia is the only student at the College with actual talent, a fact that Aia takes great pride in.",6,"I can't understand why Jorn would want to join the Imperial Legion. Soldiers only appreciate one thing, and it isn't music. | Pardon me, but I trust you've been working on your poem, on the classical heroes of Skyrim, yes? | What're you going to do after you graduate? I'm thinking of joining the Legion. I hear they're looking for skalds. Just think. Me - a war bard. | Lady Ateia has already arranged for me to perform in the court of the Jarl of Falkreath. | Lady Ateia says my voice is second only to hers. But she's selling me short. | Few can resist my charms. Even fewer are worthy of them.",TRUE
Ataf,https://en.uesp.net/wiki/Skyrim:Ataf,Bard,No Crime,"Ataf, a Redguard bard, is a student at the Bards College in Solitude. Being the youngest member of the college, he spends his days in classes to improve his talents at his chosen profession.",6,"Viarmo is trying to get Elisif to allow the Burning of King Olaf. I don't want to look like I don't know how to drink in front of the other bards. | Anything I can do for you, I will. | I'm a bard, from the Bards College here in Solitude. Wanderers like you should think about applying. | I think Illdi's better than Dean Pantea actually knows. She just gets intimidated when she's in class and can't sing. | I think someone has a crush on Illdi. | I went out ice fishing a few days ago.",TRUE
